playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,Debut_Year,Final_Year,retroID,bbrefID
wooteju01,1924,1,16,USA,SC,Pelzer,2006,8,12,USA,SC,Williamston,Junior,Wooten,Earl Hazwell,160,71,R,L,1947,1948,wootj101,wooteju01
toeneha01,1917,10,8,USA,AL,Mobile,2004,6,28,USA,FL,Tampa,Hal,Toenes,William Harrel,175,71,R,R,1947,1947,toenh101,toeneha01
westrwe01,1922,11,28,USA,MN,Clearbrook,2002,5,28,USA,MN,Clearbrook,Wes,Westrum,Wesley Noreen,185,71,R,R,1947,1957,westw101,westrwe01
bantaja01,1925,6,24,USA,KS,Hutchinson,2006,9,17,USA,KS,Hutchinson,Jack,Banta,Jackie Kay,175,74,L,R,1947,1950,bantj101,bantaja01
johnske01,1923,1,14,USA,KS,Topeka,2004,4,6,USA,KS,Wichita,Ken,Johnson,Kenneth Wandersee,185,73,L,L,1947,1952,johnk101,johnske01
vancujo01,1921,7,7,USA,WI,Little Chute,2010,7,10,USA,MN,Rochester,Johnny,Van Cuyk,John Henry,190,73,L,L,1947,1949,vancj101,vancujo01
ermerca01,1923,11,10,USA,MD,Baltimore,2009,8,8,USA,TN,Chattanooga,Cal,Ermer,Calvin Coolidge,175,72,R,R,1947,1947,ermec101,ermerca01
levanje01,1926,7,15,USA,PA,Reading,1998,11,30,USA,PA,Reading,Jesse,Levan,Jesse Roy,172,72,L,R,1947,1955,levaj101,levanje01
piconma01,1926,7,5,USA,NY,Brooklyn,2013,10,23,USA,NY,Brooklyn,Mario,Picone,Mario Peter,180,71,R,R,1947,1954,picom101,piconma01
yvarssa01,1924,2,20,USA,NY,New York,2008,12,10,USA,NY,Valhalla,Sal,Yvars,Salvador Anthony,187,70,R,R,1947,1954,yvars101,yvarssa01
brisslo01,1924,6,5,USA,SC,Anderson,2013,11,25,USA,SC,Augusta,Lou,Brissie,Leland Victor,210,76,L,L,1947,1953,brisl101,brisslo01
basgamo01,1922,2,8,USA,KS,Pfeifer,2005,9,22,USA,AZ,Sierra Vista,Monty,Basgall,Romanus,175,70,R,R,1948,1951,basgm101,basgamo01
